x, y, theta, weight 
-1.03216,3.33779,2.12207,0.0330025
-0.909785,3.35164,2.10506,0.0078981
-0.981314,3.52674,2.27076,0.00151568
-1.0104,3.44155,2.19006,0.00262563
-1.04705,3.48893,2.14801,0.00212469
-1.10943,3.34203,2.08724,0.00215824
-1.07904,3.37829,2.07492,0.00178883
-1.13244,3.37799,2.1491,0.0410069
-1.1852,3.36141,2.08506,0.00246325
-1.05948,3.38376,2.05844,0.00140249
-1.14179,3.48339,2.23511,0.00113627
-0.963584,3.27618,2.12631,0.00211598
-1.11411,3.34709,2.20108,0.00199951
-1.12188,3.3393,2.11476,0.0384926
-1.06143,3.49684,2.23311,0.00275871
-1.00171,3.43975,2.2044,0.00771644
-1.17145,3.39157,2.04857,0.00151496
-1.02502,3.52928,2.21167,0.0419624
-1.15187,3.46843,2.16291,0.0331256
-1.13152,3.46657,2.10495,0.00213037
-1.10931,3.31432,2.18652,0.00196004
-1.00771,3.53129,2.22131,0.00221339
-1.09834,3.38467,2.11647,0.0451456
-1.18304,3.52637,2.27221,0.00094296
-1.05263,3.27416,2.19201,0.0015902
-1.09609,3.42756,2.1374,0.0494372
-1.1128,3.49684,2.31112,0.000743232
-1.10169,3.48726,2.24281,0.00243214
-1.04804,3.46881,2.27917,0.000938526
-1.13803,3.39237,2.17949,0.00238909
-1.06195,3.20876,2.13708,0.00111684
-1.14302,3.48565,2.228,0.000823602
-1.12346,3.40185,2.14883,0.0451149
-1.18411,3.58772,2.22468,0.012268
-0.948982,3.41341,2.28674,0.00137875
-1.13746,3.61046,2.21105,0.0007514
-0.944863,3.31409,2.14227,0.000893483
-1.07705,3.46678,2.21962,0.00275871
-1.16413,3.44078,2.20863,0.00148266
-1.16597,3.41999,2.19241,0.00179328
-1.05477,3.35155,2.25673,0.0011571
-1.08429,3.50694,2.16226,0.00210023
-1.02392,3.57654,2.23894,0.00200675
-0.977278,3.34878,2.12768,0.0265571
-0.972144,3.5462,2.26307,0.0103494
-1.04146,3.49244,2.25321,0.00391557
-1.06495,3.42327,2.11288,0.00217316
-1.04763,3.3492,2.10697,0.0351438
-1.15307,3.30963,2.16014,0.00316571
-1.09671,3.255,2.34094,2.29856e-05
-1.04791,3.6177,2.20495,0.0011516
-0.99701,3.46552,2.26127,0.00227382
-1.0838,3.38709,2.22941,0.00215203
-1.05408,3.64062,2.25529,0.0193318
-1.28124,3.39905,2.11475,0.00103842
-1.01871,3.40695,2.13054,0.0335192
-1.20325,3.37011,2.12467,0.0277603
-1.09907,3.61211,2.16324,0.000942477
-1.05665,3.45123,2.19187,0.00291438
-1.0546,3.41922,2.18791,0.0030777
-1.05938,3.37546,2.13738,0.0492758
-1.14135,3.47034,2.04059,0.000884964
-1.01645,3.46701,2.17825,0.0447453
-1.0292,3.50035,2.24105,0.00660804
-1.18714,3.47848,2.16329,0.00168696
-1.13218,3.5008,2.17601,0.0358777
-0.981504,3.4211,2.10405,0.00102695
-1.09024,3.47285,2.1863,0.0506451
-1.09501,3.29016,2.1308,0.00378995
-0.938991,3.53315,2.21959,0.00146626
-1.02822,3.60191,2.30475,0.00480826
-1.14189,3.30378,2.138,0.00395238
-0.967464,3.51023,2.16717,0.0202382
-1.07469,3.51505,2.20561,0.0423021
-1.03822,3.38101,2.20492,0.0026708
-1.24845,3.36702,2.20877,0.000348042
-1.08897,3.4416,2.21453,0.00616976
-0.978189,3.28566,2.14062,0.00094477
-1.04031,3.47126,2.24459,0.00251317
-0.988149,3.3949,2.1744,0.00611068
-1.05838,3.20721,2.22954,0.000462094
-0.994448,3.54814,2.18631,0.0283763
-0.899222,3.40429,2.0864,0.000323436
-1.38554,3.499,2.14413,9.01614e-05
-1.01259,3.57764,2.23058,0.0336042
-0.931121,3.43767,2.28418,0.00166512
-1.0115,3.33265,2.09692,0.0258748
-0.922841,3.5394,2.16623,0.00920424
-0.949178,3.45753,2.18759,0.00136629
-1.20534,3.51052,2.1249,0.00128564
-1.14371,3.36189,2.15934,0.00260709
-0.983363,3.62473,2.17838,0.00064037
-1.13541,3.65068,2.23358,0.000571965
-1.09805,3.35592,2.15657,0.0028804
-1.08426,3.45834,2.1954,0.00280554
-1.30062,3.38257,2.14524,0.00463833
-0.894628,3.58124,2.19209,0.00552453
-1.03078,3.57546,2.31292,0.00097481
-1.16343,3.37078,2.11625,0.00245887
-1.13351,3.36273,2.10067,0.00271394
